name_x,address_x,number,distancia,name_y,address_y,activate,no_available,total_bases,dock_bikes,free_bases,longitude,latitude
General Álvarez de Castro,"Calle del General Álvarez de Castro, 6 ,",126,323,General Álvarez de Castro,"Calle del General Álvarez de Castro, 6 ,",1,0,27,14,13,-3.7018044,40.4345976
General Álvarez de Castro,"Calle del General Álvarez de Castro, 6 ,",246,323,Metro Iglesia,"Calle de Santa Engracia, 85-87 ,",1,0,27,16,11,-3.6992484724046637,40.43595788149785
Mercado Municipal de Vallehermoso,"Calle Fernando el Católico nº 19,",127,338,Mercado Municipal de Vallehermoso,"Calle Fernando el Católico nº 19,",1,0,27,18,9,-3.708439,40.4338516
Mercado Municipal de Vallehermoso,"Calle Fernando el Católico nº 19,",245,338,Galileo,"Calle Galileo, 63 ,",1,0,24,14,10,-3.7101381,40.4363637
Metro Islas Filipinas,"Calle Cea Bermúdez nº 59,",128,259,Metro Islas Filipinas,"Calle Cea Bermúdez nº 59,",1,0,27,15,12,-3.7154,40.4392
Metro Islas Filipinas,"Calle Cea Bermúdez nº 59,",244,259,Hospital Clínico San Carlos,"Calle Isaac Peral, 42 ,",1,0,23,11,12,-3.71757,40.44003
Metro Alonso Cano,"Calle de José Abascal, 33-35 ,",129,293,Metro Alonso Cano,"Calle de José Abascal, 33-35 ,",1,0,27,10,17,-3.6982353,40.4383865
Metro Alonso Cano,"Calle de José Abascal, 33-35 ,",246,293,Metro Iglesia,"Calle de Santa Engracia, 85-87 ,",1,0,27,16,11,-3.6992484724046637,40.43595788149785
Metro Ríos Rosas,"Calle de Santa Engracia, 129 ,",130,268,Metro Ríos Rosas,"Calle de Santa Engracia, 129 ,",1,0,23,3,20,-3.70164,40.44156
Metro Ríos Rosas,"Calle de Santa Engracia, 129 ,",131,268,Plaza de Juan Zorrilla,"Calle Bravo Murillo nº 44,",1,0,23,11,12,-3.70403123,40.4417884
Plaza de Juan Zorrilla,"Calle Bravo Murillo nº 44,",131,268,Plaza de Juan Zorrilla,"Calle Bravo Murillo nº 44,",1,0,23,11,12,-3.70403123,40.4417884
Plaza de Juan Zorrilla,"Calle Bravo Murillo nº 44,",130,268,Metro Ríos Rosas,"Calle de Santa Engracia, 129 ,",1,0,23,3,20,-3.70164,40.44156
Glorieta de Cuatro Caminos,"Calle Santa Engracia, 164 ,",132,150,Glorieta de Cuatro Caminos,"Calle Santa Engracia, 164 ,",1,0,27,25,2,-3.703605250412747,40.446377501314885
Glorieta de Cuatro Caminos,"Calle Santa Engracia, 164 ,",204,150,Doctor Santero,"Calle Doctor Santero, 1 ,",1,0,23,18,5,-3.7040397,40.4476488
Raimundo Fdez. Villaverde,"Calle Dulcinea, 3 ,",133,348,Raimundo Fdez. Villaverde,"Calle Dulcinea, 3 ,",1,0,24,16,8,-3.7001669,40.447125
Raimundo Fdez. Villaverde,"Calle Dulcinea, 3 ,",295,348,Hernani,"Calle Hernani, 59 ,",1,0,23,8,15,-3.6972,40.4481
María de Guzmán,"Calle María de Guzmán nº 58,",134,436,María de Guzmán,"Calle María de Guzmán nº 58,",1,0,23,6,17,-3.6955687,40.4441818
María de Guzmán,"Calle María de Guzmán nº 58,",135,436,Plaza de San Juan de la Cruz,"Plaza de San Juan de la Cruz, 10 ,",1,0,23,9,14,-3.692734,40.441481
Plaza de San Juan de la Cruz,"Plaza de San Juan de la Cruz, 10 ,",135,346,Plaza de San Juan de la Cruz,"Plaza de San Juan de la Cruz, 10 ,",1,0,23,9,14,-3.692734,40.441481
Plaza de San Juan de la Cruz,"Plaza de San Juan de la Cruz, 10 ,",247,346,Zurbano,"Calle de Zurbano, 90 ,",1,0,23,8,15,-3.69281,40.43837
Metro Nuevos Ministerios,"Paseo de la Castellana nº 106,",136,99,Metro Nuevos Ministerios,"Paseo de la Castellana nº 106,",1,0,23,13,10,-3.690769,40.4451244
Metro Nuevos Ministerios,"Paseo de la Castellana nº 106,",138,99,Estación de tren Nuevos Ministerios,"Paseo de la Castellana, 63 ,",1,0,23,5,18,-3.6914063,40.4457414
Plaza de la República Argentina,"Plaza de la republica argentina, 7 ,",137,537,Plaza de la República Argentina,"Plaza de la republica argentina, 7 ,",1,0,24,5,19,-3.6853377,40.4454477
Plaza de la República Argentina,"Plaza de la republica argentina, 7 ,",250,537,Serrano,"Calle Serrano, 111 ,",1,0,27,8,19,-3.6858096,40.4406491
Estación de tren Nuevos Ministerios,"Paseo de la Castellana, 63 ,",138,99,Estación de tren Nuevos Ministerios,"Paseo de la Castellana, 63 ,",1,0,23,5,18,-3.6914063,40.4457414
Estación de tren Nuevos Ministerios,"Paseo de la Castellana, 63 ,",136,99,Metro Nuevos Ministerios,"Paseo de la Castellana nº 106,",1,0,23,13,10,-3.690769,40.4451244
José Gutiérrez Abascal,"Calle Pedro de Valdivia, 2 ,",139,290,José Gutiérrez Abascal,"Calle Pedro de Valdivia, 2 ,",1,0,24,7,17,-3.690419307270818,40.43939562033124
José Gutiérrez Abascal,"Calle Pedro de Valdivia, 2 ,",247,290,Zurbano,"Calle de Zurbano, 90 ,",1,0,23,8,15,-3.69281,40.43837
Velázquez,"Calle Velázquez, 134 ,",140,372,Velázquez,"Calle Velázquez, 134 ,",1,0,27,22,5,-3.6830583,40.4387566
Velázquez,"Calle Velázquez, 134 ,",250,372,Serrano,"Calle Serrano, 111 ,",1,0,27,8,19,-3.6858096,40.4406491
Plaza de Emilio Castelar,"Paseo de la Castellana nº 43,",141,277,Plaza de Emilio Castelar,"Paseo de la Castellana nº 43,",1,0,12,7,5,-3.6893917,40.4354047
Plaza de Emilio Castelar,"Paseo de la Castellana nº 43,",142,277,Bajo elevado de Eduardo Dato,"Paseo de la Castellana nº 42,",1,0,23,13,10,-3.6879154,40.4334087
General Pardiñas,"Calle General Pardiñas, 58 ,",186,328,General Pardiñas,"Calle General Pardiñas, 58 ,",1,0,23,1,22,-3.6783016,40.4289804
General Pardiñas,"Calle General Pardiñas, 58 ,",91,328,Hermosilla,"Calle Hermosilla nº 71,",1,0,23,3,20,-3.6786285,40.426049
Metro Diego de León,"Calle de Juan Bravo, 51 ,",144,292,Metro Diego de León,"Calle de Juan Bravo, 51 ,",1,0,27,6,21,-3.675556,40.4324081
Metro Diego de León,"Calle de Juan Bravo, 51 ,",191,292,Metro Diego de León,"Calle de Alfonso Heredia, 2 ,",1,0,19,7,12,-3.6740777840614403,40.434569387142616
Ortega y Gasset 87,"Calle Ortega y Gasset nº 87,",145,217,Ortega y Gasset 87,"Calle Ortega y Gasset nº 87,",1,0,23,11,12,-3.6712823,40.429887
Ortega y Gasset 87,"Calle Ortega y Gasset nº 87,",192,217,Avda. de los Toreros,"Avenida de los Toreros, 3 ,",1,0,27,15,12,-3.6714677183853106,40.431826464468664
"María Francisca, 3","Calle de María Francisca, 3,",146,405,"María Francisca, 3","Calle de María Francisca, 3,",1,0,19,15,4,-3.6788499,40.4442541
"María Francisca, 3","Calle de María Francisca, 3,",196,405,Metro Prosperidad,"Calle Suero de Quiñones, 4 ,",1,0,27,4,23,-3.6752218,40.4442237
Doctor Arce 45,"Avenida del Doctor Arce nº 45,",147,376,Doctor Arce 45,"Avenida del Doctor Arce nº 45,",1,0,23,3,20,-3.6794,40.4484
Doctor Arce 45,"Avenida del Doctor Arce nº 45,",148,376,Serrano 210,"Calle Serrano nº 210,",1,0,23,5,18,-3.6813971,40.451117
