title,street-address,latitude,longitude,number,type_of_place,distance
Embajada de la República Democrática del Congo,CALLE DOCTOR FLEMING 45 PLANTA 1 F,40.46267526644442,-3.687880936282099,209,embajada,348.8878957279567
Embajada de la República Democrática del Congo,CALLE DOCTOR FLEMING 45 PLANTA 1 F,40.46267526644442,-3.687880936282099,208,embajada,422.43671516163556
Embajada de la República Popular Democrática de Corea,CALLE DARIO APARICIO 43,40.472005387402454,-3.770870629526731,315,embajada,2139.047946821202
Embajada de la República Popular Democrática de Corea,CALLE DARIO APARICIO 43,40.472005387402454,-3.770870629526731,610,embajada,2433.233228986152
Embajada de la República Popular Democrática de Corea,CALLE DARIO APARICIO 43,40.472005387402454,-3.770870629526731,310,embajada,2976.5184116640353
Embajada de la República de Corea,CALLE GONZALEZ AMIGO 15,40.4661068662576,-3.666833442645388,487,embajada,280.9089076919025
Embajada de la República de Corea,CALLE GONZALEZ AMIGO 15,40.4661068662576,-3.666833442645388,534,embajada,422.55395424252464
Embajada de la República de Corea,CALLE GONZALEZ AMIGO 15,40.4661068662576,-3.666833442645388,285,embajada,537.1845967385565
Embajada del Nepal,CALLE GENERAL ORAA 3 PLANTA bajo izquierda,40.43603074588647,-3.687904662891031,141,embajada,179.92491871047855
Embajada del Nepal,CALLE GENERAL ORAA 3 PLANTA bajo izquierda,40.43603074588647,-3.687904662891031,142,embajada,291.88727030904255
Embajada del Nepal,CALLE GENERAL ORAA 3 PLANTA bajo izquierda,40.43603074588647,-3.687904662891031,139,embajada,467.9671313889462
